Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate,Is_Outlier,Cluster,IQR_Outlier_Tot_Benes,IQR_Outlier_Tot_Srvcs,IQR_Outlier_Avg_Mdcr_Amt,Actual_Outliers
28,32.0,581.89,-1.1214099821078531,-2.1136416221807264,-1.2454988873261328,False,0,False,False,False,False
29,38.0,771.93,-0.8382443470982739,-1.085040929850023,12.295213107256686,False,2,False,False,False,False
11,12.0,562.18,-5.935225777270689,-5.542310596616403,-2.64987393159696,False,0,False,False,False,False
13,22.0,117.75,-5.3688945072515315,-3.827976109398565,-34.316357996806616,True,0,False,False,True,True
12,16.0,588.58,-5.652060142261109,-4.8565768017292665,-0.7688236439891519,False,0,False,False,False,False
19,26.0,510.07,-3.66990069719406,-3.1422423145114293,-6.362810692477355,False,0,False,False,False,False
57,65.0,808.11,7.0903934331699245,3.5436621856381403,14.873107024137383,False,2,False,False,False,False
19,29.0,582.76,-3.66990069719406,-2.627941968346078,-1.1835097301208748,False,0,False,False,False,False
13,21.0,559.8,-5.3688945072515315,-3.999409558120348,-2.819453465100996,False,0,False,False,False,False
24,31.0,472.87,-2.254072522146167,-2.28507507090251,-9.013381552288347,False,0,False,False,False,False
22,29.0,574.82,-2.820403792165324,-2.627941968346078,-1.749249854499884,False,0,False,False,False,False
73,86.0,739.78,11.62104359332318,7.143764608795601,10.004464366855522,False,2,True,False,False,True
30,36.0,793.91,-0.555078712088695,-1.4279078272935912,13.86132997549985,False,2,False,False,False,False
22,23.0,472.48,-2.820403792165324,-3.656542660676781,-9.041169795173461,False,0,False,False,False,False
21,24.0,551.97,-3.103569427174902,-3.4851092119549967,-3.377355879948305,False,0,False,False,False,False
18,19.0,464.77,-3.953066332203638,-4.3422764555639155,-9.590521981440743,False,0,False,False,False,False
