Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate
52,66.0,769.32,0.5514592191038773,0.37350788559669607,1.1689626366621277
76,89.0,809.39,1.2467684899151963,0.7966322691090308,1.4444715115260085
14,16.0,814.81,-0.5494471263473776,-0.5463277307344664,1.4817377481559617
44,63.0,582.31,0.319689462166771,0.3183177486168263,-0.11686004085957023
12,16.0,501.51,-0.6073895655816541,-0.5463277307344664,-0.6724157456013118
88,107.0,549.44,1.5944231253208556,1.1277730909882493,-0.3428639519345825
43,47.0,568.29,0.29071824254963274,0.023970351390854336,-0.21325720645956045
18,22.0,551.45,-0.4335622478788244,-0.4359474567747269,-0.32904381621019024
11,17.0,61.6,-0.6363607851987925,-0.5279310184078432,-3.697100276207
23,26.0,544.95,-0.28870614979313297,-0.3623606074682339,-0.37373579740847396
34,41.0,550.16,0.029977265995388167,-0.08640992256888516,-0.3379134555556963
13,17.0,445.92,-0.5784183459645158,-0.5279310184078432,-1.054635320187864
207,279.0,805.83,5.041998259760312,4.292007611167448,1.4199940572081797
12,22.0,588.71,-0.6073895655816541,-0.4359474567747269,-0.07285562860279797
13,16.0,545.61,-0.5784183459645158,-0.5463277307344664,-0.3691978423944946
33,45.0,794.96,0.0010060463782498813,-0.012823073262392161,1.3452553132658192
52,63.0,764.0,0.5514592191038773,0.3183177486168263,1.132383968973686
11,14.0,580.3,-0.6363607851987925,-0.5831211553877129,-0.1306801765839625
13,15.0,588.71,-0.5784183459645158,-0.5647244430610896,-0.07285562860279797
31,41.0,730.35,-0.05693639285602669,-0.08640992256888516,0.9010170201548791
12,15.0,588.71,-0.6073895655816541,-0.5647244430610896,-0.07285562860279797
14,15.0,548.32,-0.5494471263473776,-0.5647244430610896,-0.3505647240795176
17,19.0,588.71,-0.4625334674959627,-0.49113759375459665,-0.07285562860279797
60,64.0,497.53,0.7832289760409836,0.3367144609434496,-0.6997809894734918
16,20.0,519.08,-0.49150468711310097,-0.4727408814279734,-0.5516098825776431
12,14.0,556.32,-0.6073895655816541,-0.5831211553877129,-0.29555920875855307
15,19.0,564.84,-0.5204759067302392,-0.49113759375459665,-0.23697833494172596
20,23.0,797.1,-0.37561980864454786,-0.41755074444810364,1.359969288614177
42,46.0,578.52,0.26174702293249447,0.0055736390642310875,-0.14291890374287694
11,15.0,117.75,-0.6363607851987925,-0.5647244430610896,-3.3110303155479808
15,21.0,583.05,-0.5204759067302392,-0.4543441691013501,-0.11177203069238094
24,37.0,533.02,-0.2597349301759947,-0.15999677187537814,-0.45576277213086275
27,34.0,565.45,-0.17282127132457983,-0.2151869088552479,-0.2327841643985023
50,63.0,772.78,0.49351677986960074,0.3183177486168263,1.1927525220384445
14,18.0,579.87,-0.5494471263473776,-0.5095343060812199,-0.13363672303246402
18,28.0,506.89,-0.4335622478788244,-0.32556718281498737,-0.6354245365479632
22,25.0,551.79,-0.31767736941027125,-0.38075731979485716,-0.3267060818090498
38,54.0,489.38,0.1458621444639413,0.15274733767721707,-0.7558178582067242
14,20.0,525.42,-0.5494471263473776,-0.4727408814279734,-0.5080180116857792
31,35.0,791.53,-0.05693639285602669,-0.19679019652862464,1.321671698571955
11,14.0,511.48,-0.6363607851987925,-0.5831211553877129,-0.6038651221325595
30,36.0,803.49,-0.08590761247316497,-0.1783934842020014,1.4039049439767972
20,25.0,430.93,-0.37561980864454786,-0.38075731979485716,-1.1577019045205212
142,211.0,800.66,3.158868984646323,3.0410311729570676,1.3844467429320058
13,16.0,679.05,-0.5784183459645158,-0.5463277307344664,0.5482941531591935
73,86.0,739.78,1.1598548310637813,0.741442132129161,0.9658547713394657
27,30.0,585.97,-0.17282127132457983,-0.2887737581617409,-0.09169501760022838
16,20.0,585.58,-0.49150468711310097,-0.4727408814279734,-0.09437653647212532
11,17.0,424.87,-0.6363607851987925,-0.5279310184078432,-1.199368582376152
14,19.0,588.71,-0.5494471263473776,-0.49113759375459665,-0.07285562860279797
79,102.0,811.61,1.333682148766611,1.0357895293551331,1.4597355420275764
13,14.0,563.48,-0.5784183459645158,-0.5831211553877129,-0.24632927254629
106,136.0,805.33,2.115905078429345,1.6612777484603234,1.4165562125006195
34,41.0,548.47,0.029977265995388167,-0.08640992256888516,-0.34953337066724965
15,18.0,556.0,-0.5204759067302392,-0.5095343060812199,-0.297759429371392
36,51.0,542.3,0.08791970522966475,0.09755720069734733,-0.3919563743585441
81,101.0,767.15,1.3916245880008877,1.0173928170285098,1.1540423906313158
11,16.0,588.71,-0.6363607851987925,-0.5463277307344664,-0.07285562860279797
24,28.0,569.02,-0.2597349301759947,-0.32556718281498737,-0.20823795318652233
26,35.0,588.71,-0.2017924909417181,-0.19679019652862464,-0.07285562860279797
11,13.0,588.71,-0.6363607851987925,-0.6015178677143361,-0.07285562860279797
18,28.0,576.09,-0.4335622478788244,-0.32556718281498737,-0.15962682902161957
14,20.0,498.65,-0.5494471263473776,-0.4727408814279734,-0.6920802173285566
23,29.0,568.57,-0.28870614979313297,-0.30717047048836416,-0.2113320134233261
17,26.0,580.03,-0.4625334674959627,-0.3623606074682339,-0.13253661272604494
14,20.0,117.75,-0.5494471263473776,-0.4727408814279734,-3.3110303155479808
64,78.0,798.74,0.8991138545095367,0.5942684335161751,1.3712454192549746
23,32.0,775.95,-0.28870614979313297,-0.2519803335084944,1.2145484574843772
24,27.0,814.81,-0.2597349301759947,-0.34396389514161063,1.4817377481559617
33,40.0,489.71,0.0010060463782498813,-0.1048066348955084,-0.7535488806997346
71,123.0,377.48,1.1019123918295048,1.4221204882142213,-1.5252075037587156
26,31.0,502.48,-0.2017924909417181,-0.2703770458351176,-0.6657463268686447
46,59.0,458.8,0.37763190140104763,0.24473089931033332,-0.9660764405211111
26,35.0,560.98,-0.2017924909417181,-0.19679019652862464,-0.26351849608409145
13,18.0,518.6,-0.5784183459645158,-0.5095343060812199,-0.5549102134969011
17,22.0,529.84,-0.4625334674959627,-0.4359474567747269,-0.4776274644709458
55,84.0,513.3,0.6383728779552922,0.7046487074759146,-0.5913513673970405
14,19.0,578.21,-0.5494471263473776,-0.49113759375459665,-0.14505036746156394
26,34.0,522.91,-0.2017924909417181,-0.2151869088552479,-0.5252759921177318
23,30.0,459.2,-0.28870614979313297,-0.2887737581617409,-0.9633261647550629
14,17.0,588.71,-0.5494471263473776,-0.5279310184078432,-0.07285562860279797
11,15.0,760.49,-0.6363607851987925,-0.5647244430610896,1.108250299126613
60,65.0,807.85,0.7832289760409836,0.3551111732700728,1.4338829498267232
16,19.0,588.71,-0.49150468711310097,-0.49113759375459665,-0.07285562860279797
11,16.0,66.23,-0.6363607851987925,-0.5463277307344664,-3.665265834214992
24,29.0,580.19,-0.2597349301759947,-0.30717047048836416,-0.13143650241962507
13,17.0,790.77,-0.5784183459645158,-0.5279310184078432,1.3164461746164635
86,121.0,481.9,1.5364806860865792,1.3853270635609747,-0.8072480150318262
135,205.0,575.86,2.956070447326355,2.930650898997328,-0.16120823758709743
22,110.0,127.72,-0.31767736941027125,1.182963227968119,-3.2424796920792285
11,13.0,588.71,-0.6363607851987925,-0.6015178677143361,-0.07285562860279797
14,18.0,588.71,-0.5494471263473776,-0.5095343060812199,-0.07285562860279797
17,19.0,588.71,-0.4625334674959627,-0.49113759375459665,-0.07285562860279797
67,86.0,797.02,0.9860275133609516,0.741442132129161,1.3594192334609672
24,34.0,580.55,-0.2597349301759947,-0.2151869088552479,-0.12896125423018237
22,24.0,588.71,-0.31767736941027125,-0.3991540321214804,-0.07285562860279797
14,17.0,588.71,-0.5494471263473776,-0.5279310184078432,-0.07285562860279797
31,36.0,556.0,-0.05693639285602669,-0.1783934842020014,-0.297759429371392
25,32.0,533.52,-0.23076371055885642,-0.2519803335084944,-0.45232492742330244
16,17.0,512.52,-0.49150468711310097,-0.5279310184078432,-0.5967144051408344
34,39.0,814.81,0.029977265995388167,-0.12320334722213165,1.4817377481559617
22,25.0,814.81,-0.31767736941027125,-0.38075731979485716,1.4817377481559617
95,117.0,778.16,1.7972216626408237,1.3117402142544818,1.2297437310917931
14,17.0,110.82,-0.5494471263473776,-0.5279310184078432,-3.3586788431947663
42,52.0,787.39,0.26174702293249447,0.11595391302397058,1.293206344393356
14,18.0,579.87,-0.5494471263473776,-0.5095343060812199,-0.13363672303246402
53,68.0,558.41,0.5804304387210156,0.41030131024994254,-0.28118901788095163
69,89.0,787.08,1.0439699525952282,0.7966322691090308,1.291074880674669
23,139.0,140.43,-0.28870614979313297,1.7164678854401931,-3.155089679613046
76,202.0,260.52,1.2467684899151963,2.8754607620174584,-2.3293881377512173
26,38.0,573.6,-0.2017924909417181,-0.1416000595487549,-0.17674729566526984
11,14.0,109.34,-0.6363607851987925,-0.5831211553877129,-3.3688548635291444
11,15.0,588.71,-0.6363607851987925,-0.5647244430610896,-0.07285562860279797
11,14.0,587.75,-0.6363607851987925,-0.5831211553877129,-0.07945629044131397
15,16.0,491.24,-0.5204759067302392,-0.5463277307344664,-0.7430290758945999
60,85.0,565.5,0.7832289760409836,0.7230454198025378,-0.2324403799277466
22,29.0,588.71,-0.31767736941027125,-0.30717047048836416,-0.07285562860279797
14,14.0,599.22,-0.5494471263473776,-0.5831211553877129,-0.0005921328498808693
11,12.0,578.9,-0.6363607851987925,-0.6199145800409593,-0.14030614176513115
14,17.0,606.02,-0.5494471263473776,-0.5279310184078432,0.04616255517293868
16,18.0,588.71,-0.49150468711310097,-0.5095343060812199,-0.07285562860279797
14,18.0,588.71,-0.5494471263473776,-0.5095343060812199,-0.07285562860279797
18,23.0,578.47,-0.4335622478788244,-0.41755074444810364,-0.14326268821363264
20,23.0,586.74,-0.37561980864454786,-0.41755074444810364,-0.08640073675058568
92,229.0,295.1,1.7103080037894087,3.372171994836286,-2.091626797776348
16,22.0,458.07,-0.49150468711310097,-0.4359474567747269,-0.9710956937941492
58,78.0,804.99,0.7252865368067071,0.5942684335161751,1.4142184780994782
11,49.0,205.17,-0.6363607851987925,0.06076377604410083,-2.7099575468781407
13,20.0,479.01,-0.5784183459645158,-0.4727408814279734,-0.8271187574415245
49,57.0,807.66,0.46454556025246246,0.2079374746570868,1.4325765688378498
13,18.0,527.6,-0.5784183459645158,-0.5095343060812199,-0.49302900876081596
18,20.0,577.5,-0.4335622478788244,-0.4727408814279734,-0.14993210694629977
106,127.0,799.12,2.115905078429345,1.4957073375207142,1.3738581812327204
18,20.0,576.94,-0.4335622478788244,-0.4727408814279734,-0.15378249301876692
14,17.0,588.71,-0.5494471263473776,-0.5279310184078432,-0.07285562860279797
98,138.0,517.73,1.8841353214922385,1.69807117311357,-0.560892063288056
59,78.0,586.67,0.7542577564238453,0.5942684335161751,-0.08688203500964446
25,29.0,588.71,-0.23076371055885642,-0.30717047048836416,-0.07285562860279797
18,21.0,588.38,-0.4335622478788244,-0.4543441691013501,-0.07512460610978804
41,50.0,513.36,0.23277580331535616,0.07916048837072408,-0.5909388260321329
35,44.0,551.92,0.058948485612526455,-0.03121978558901541,-0.3258122421850842
60,74.0,792.79,0.7832289760409836,0.520681584209682,1.330335067235007
51,59.0,588.71,0.5224879994867391,0.24473089931033332,-0.07285562860279797
20,24.0,576.45,-0.37561980864454786,-0.3991540321214804,-0.15715158083217606
48,55.0,758.88,0.4355743406353242,0.17114405000384034,1.0971804391682687
48,61.0,820.27,0.4355743406353242,0.28152432396357985,1.5192790123625202
15,17.0,597.37,-0.5204759067302392,-0.5279310184078432,-0.013312158267854075
13,14.0,483.58,-0.5784183459645158,-0.5831211553877129,-0.7956968568144236
21,30.0,727.51,-0.3466485890274096,-0.2887737581617409,0.8814900622159365
23,30.0,586.1,-0.28870614979313297,-0.2887737581617409,-0.09080117797626275
48,61.0,774.18,0.4355743406353242,0.28152432396357985,1.202378487219613
59,99.0,487.29,0.7542577564238453,0.9805993923752633,-0.770188049084326
13,15.0,588.71,-0.5784183459645158,-0.5647244430610896,-0.07285562860279797
30,34.0,772.87,-0.08590761247316497,-0.2151869088552479,1.1933713340858054
28,32.0,581.89,-0.14385005170744156,-0.2519803335084944,-0.11974783041392058
12,15.0,588.71,-0.6073895655816541,-0.5647244430610896,-0.07285562860279797
12,16.0,584.88,-0.6073895655816541,-0.5463277307344664,-0.09918951906271002
14,53.0,182.92,-0.5494471263473776,0.13435062535059383,-2.8629416363645737
11,13.0,549.08,-0.6363607851987925,-0.6015178677143361,-0.345339200124026
12,17.0,452.96,-0.6073895655816541,-0.5279310184078432,-1.0062304667054154
52,77.0,808.61,0.5514592191038773,0.5758717211895518,1.4391084737822146
19,24.0,814.81,-0.40459102826168614,-0.3991540321214804,1.4817377481559617
29,39.0,584.63,-0.11487883209030327,-0.12320334722213165,-0.10090844141649016
89,106.0,771.29,1.623394344937994,1.109376378661626,1.1825077448099148
19,20.0,782.81,-0.40459102826168614,-0.4727408814279734,1.2617156868721036
44,55.0,774.3,0.319689462166771,0.17114405000384034,1.2032035699494277
16,18.0,817.29,-0.49150468711310097,-0.5095343060812199,1.4987894579054608
11,12.0,814.81,-0.6363607851987925,-0.6199145800409593,1.4817377481559617
18,20.0,551.32,-0.4335622478788244,-0.4727408814279734,-0.3299376558341559
13,46.0,159.61,-0.5784183459645158,0.0055736390642310875,-3.0232139566310336
13,15.0,588.71,-0.5784183459645158,-0.5647244430610896,-0.07285562860279797
12,14.0,530.26,-0.6073895655816541,-0.5831211553877129,-0.47473967491659547
23,30.0,587.3,-0.28870614979313297,-0.2887737581617409,-0.08255035067811853
14,18.0,588.71,-0.5494471263473776,-0.5095343060812199,-0.07285562860279797
23,25.0,490.76,-0.28870614979313297,-0.38075731979485716,-0.7463294068138578
42,52.0,572.73,0.26174702293249447,0.11595391302397058,-0.18272914545642477
41,66.0,586.63,0.23277580331535616,0.37350788559669607,-0.08715706258624903
13,61.0,189.94,-0.5784183459645158,0.28152432396357985,-2.814674296670427
12,13.0,574.05,-0.6073895655816541,-0.6015178677143361,-0.17365323542846606
18,19.0,588.71,-0.4335622478788244,-0.49113759375459665,-0.07285562860279797
31,61.0,322.84,-0.05693639285602669,0.28152432396357985,-1.9008951734009036
20,23.0,541.45,-0.37561980864454786,-0.41755074444810364,-0.3978007103613959
13,19.0,501.95,-0.5784183459645158,-0.49113759375459665,-0.6693904422586587
19,26.0,588.71,-0.40459102826168614,-0.3623606074682339,-0.07285562860279797
43,59.0,453.03,0.29071824254963274,0.24473089931033332,-1.005749168446357
30,35.0,580.49,-0.08590761247316497,-0.19679019652862464,-0.1293737955950892
23,64.0,259.11,-0.28870614979313297,0.3367144609434496,-2.339082859826537
40,47.0,588.71,0.20380458369821788,0.023970351390854336,-0.07285562860279797
13,19.0,483.59,-0.5784183459645158,-0.49113759375459665,-0.7956280999202724
12,13.0,539.74,-0.6073895655816541,-0.6015178677143361,-0.40955813926125234
12,14.0,583.51,-0.6073895655816541,-0.5831211553877129,-0.10860921356142524
61,95.0,585.61,0.8122001956581218,0.9070125430687703,-0.09417026578967189
19,20.0,588.71,-0.40459102826168614,-0.4727408814279734,-0.07285562860279797
13,15.0,774.07,-0.5784183459645158,-0.5647244430610896,1.2016221613839504
34,41.0,517.12,0.029977265995388167,-0.08640992256888516,-0.5650862338312796
12,14.0,542.45,-0.6073895655816541,-0.5831211553877129,-0.39092502094627535
28,38.0,587.68,-0.14385005170744156,-0.1416000595487549,-0.07993758870037275
21,26.0,799.14,-0.3466485890274096,-0.3623606074682339,1.3739956950210226
11,13.0,788.9,-0.6363607851987925,-0.6015178677143361,1.303588635410188
22,35.0,555.07,-0.31767736941027125,-0.19679019652862464,-0.30415382052745377
42,47.0,576.67,0.26174702293249447,0.023970351390854336,-0.15563892916085012
13,18.0,588.71,-0.5784183459645158,-0.5095343060812199,-0.07285562860279797
16,22.0,568.7,-0.49150468711310097,-0.4359474567747269,-0.21043817379936047
